id;sku;lot;name;auction_url;auction_end;current_auction_eur;auction_fee_rate_percent;auction_fees_eur;vat_status;vat_rate_percent;vat_eur;purchase_total_eur;photo_count;quick_sale_lot_eur;normal_resale_gross_eur;quick_margin_before_other_costs_eur;normal_margin_before_other_costs_eur;confidence_percent;demand;estimated_sale_days_min;estimated_sale_days_max;valuation_method;main_risks;device_checks;source_ids;source_titles;source_urls
302468;260633BR302468;271;Lot de 19 ordinateurs portables DYNABOOK Satellite Pro C40;https://encheres-domaine.gouv.fr/lot/lotde19pcportabledynabook-sanschargeurs-sacoches-1.html;2026-09-17T08:00:00+00:00;1150.0;11.0;126.5;non_mentionnee;;0.0;1276.5;1;1805;2850;528.5;1573.5;68;moyenne;14;75;"95 EUR/unité en sortie de lot; 150 EUR/unité testée et vendue séparément.";"Chargeurs absents; état fonctionnel non garanti; modèle peu présent sur leboncoin.";[];lbc_dell_7490;"[""Dell Latitude 7490 i5 d'occasion — leboncoin""]";https://www.leboncoin.fr/ck/ordinateurs/pc-portable-dell-latitude-7490-i5
302466;260633BR302466;272;Lot de 30 ordinateurs portable DYNABOOK Satellite Pro C40;https://encheres-domaine.gouv.fr/lot/lotde30pcportabledynabook-sanschargeurs-sacoches-1.html;2026-09-17T08:00:00+00:00;1600.0;11.0;176.0;non_mentionnee;;0.0;1776.0;2;2850;4500;1074.0;2724.0;68;moyenne;14;75;"95 EUR/unité en sortie de lot; 150 EUR/unité testée et vendue séparément.";"Chargeurs absents; état fonctionnel non garanti; modèle peu présent sur leboncoin.";[];lbc_dell_7490;"[""Dell Latitude 7490 i5 d'occasion — leboncoin""]";https://www.leboncoin.fr/ck/ordinateurs/pc-portable-dell-latitude-7490-i5
302464;260633BR302464;273;Lot de 20 ordinateurs portables DYNABOOK Satellite Pro C40;https://encheres-domaine.gouv.fr/lot/lotde20pcportabledynabook-sanschargeurs-sacoches-1.html;2026-09-17T08:00:00+00:00;1200.0;11.0;132.0;non_mentionnee;;0.0;1332.0;2;1900;3000;568.0;1668.0;68;moyenne;14;75;"95 EUR/unité en sortie de lot; 150 EUR/unité testée et vendue séparément.";"Chargeurs absents; état fonctionnel non garanti; modèle peu présent sur leboncoin.";[];lbc_dell_7490;"[""Dell Latitude 7490 i5 d'occasion — leboncoin""]";https://www.leboncoin.fr/ck/ordinateurs/pc-portable-dell-latitude-7490-i5
302462;260633BR302462;274;Lot de 11 ordinateurs portables  DELL avec station d'accueil;https://encheres-domaine.gouv.fr/lot/lotde11pcportabledell-8stationd-accueil-1.html;2026-09-17T08:00:00+00:00;300.0;11.0;33.0;non_mentionnee;;0.0;333.0;1;1600;2350;1267.0;2017.0;74;moyenne;14;60;"Mélange de 11 Latitude à 130-210 EUR testés, plus 8 docks; décote de lot.";Répartition exacte 7400/7490/7480/E7470 et état batteries inconnus.;[];lbc_dell_7490;"[""Dell Latitude 7490 i5 d'occasion — leboncoin""]";https://www.leboncoin.fr/ck/ordinateurs/pc-portable-dell-latitude-7490-i5
302459;260633BR302459;275;Lot de switch ARUBA et HP;https://encheres-domaine.gouv.fr/lot/lotde19switch-arubaethp-1.html;2026-09-17T08:00:00+00:00;100.0;11.0;11.0;non_mentionnee;;0.0;111.0;11;1000;1800;889.0;1689.0;61;faible;30;150;Somme des valeurs par modèle avec forte décote de gros et d'obsolescence.;"Références PoE/non-PoE ambiguës; matériel non présenté comme testé; acheteurs spécialisés.";[];lbc_aruba;"[""Matériel Aruba d'occasion — leboncoin""]";https://www.leboncoin.fr/ck/accessoires_informatique/aruba/p-3
302453;260633BR302453;276;Lot de 27 bornes Wifi ARUBA;https://encheres-domaine.gouv.fr/lot/lotde27borneswifiaruba-1.html;2026-09-17T08:00:00+00:00;80.0;11.0;8.8;non_mentionnee;;0.0;88.8;1;120;300;31.2;211.2;58;faible;45;180;Anciennes bornes 802.11n valorisées 4-11 EUR/unité selon vente en bloc ou détail.;AP-105 obsolètes, alimentations absentes, configuration entreprise potentiellement bloquante.;[];lbc_aruba;"[""Matériel Aruba d'occasion — leboncoin""]";https://www.leboncoin.fr/ck/accessoires_informatique/aruba/p-3
302452;260633BR302452;277;Lot de 10 ordinateurs portables TOSHIBA;https://encheres-domaine.gouv.fr/lot/lotde10pcportabletoshiba-1-doo-1.html;2026-09-17T08:00:00+00:00;200.0;11.0;22.0;non_mentionnee;;0.0;222.0;5;500;800;278.0;578.0;66;faible;30;120;"50 EUR/unité en lot; 70-90 EUR/unité testée avec chargeur.";"Machines anciennes à disque dur mécanique; batteries et RAM non précisées.";[];lbc_dell_7490;"[""Dell Latitude 7490 i5 d'occasion — leboncoin""]";https://www.leboncoin.fr/ck/ordinateurs/pc-portable-dell-latitude-7490-i5
302451;260633BR302451;278;Lot de 14 ordinaterus portables TOSHIBA R50;https://encheres-domaine.gouv.fr/lot/lotde14pcportabletoshiba-1.html;2026-09-17T08:00:00+00:00;350.0;11.0;38.5;non_mentionnee;;0.0;388.5;4;630;1050;241.5;661.5;67;faible;30;120;"45 EUR/unité en lot; 75 EUR/unité après test et nettoyage.";Core i3 de génération non précisée, HDD 500 Go, batterie inconnue.;[];lbc_dell_7490;"[""Dell Latitude 7490 i5 d'occasion — leboncoin""]";https://www.leboncoin.fr/ck/ordinateurs/pc-portable-dell-latitude-7490-i5
302450;260633BR302450;279;Lot de 13 ordinateurs portables TOSHIBA R50;https://encheres-domaine.gouv.fr/lot/lotde13pcportabletoshiba-1.html;2026-09-17T08:00:00+00:00;320.0;11.0;35.2;non_mentionnee;;0.0;355.2;3;585;975;229.8;619.8;67;faible;30;120;"45 EUR/unité en lot; 75 EUR/unité après test et nettoyage.";Core i3 de génération non précisée, HDD 500 Go, batterie inconnue.;[];lbc_dell_7490;"[""Dell Latitude 7490 i5 d'occasion — leboncoin""]";https://www.leboncoin.fr/ck/ordinateurs/pc-portable-dell-latitude-7490-i5
302449;260633BR302449;280;Lot de 10 ordinateurs portables TOSHIBA R50;https://encheres-domaine.gouv.fr/lot/lotde10pcportabletoshiba-1.html;2026-09-17T08:00:00+00:00;250.0;11.0;27.5;non_mentionnee;;0.0;277.5;2;450;750;172.5;472.5;67;faible;30;120;"45 EUR/unité en lot; 75 EUR/unité après test et nettoyage.";Core i3 de génération non précisée, HDD 500 Go, batterie inconnue.;[];lbc_dell_7490;"[""Dell Latitude 7490 i5 d'occasion — leboncoin""]";https://www.leboncoin.fr/ck/ordinateurs/pc-portable-dell-latitude-7490-i5
